0,Should We Preserve Past Historical Buildings?
10001,"As computers are being used more and more in education, there will be soon no role for teachers in the classroom."
10002,"As computers are being used more and more in education, there will be soon no role for teachers in the classroom."
2,In some countries young people are encouraged to work or travel for a year between finishing high school and starting university studies. Discuss the advantages and disadvantages for young people who decide to do this.
3,"Some people believe that a college or university education should be available to all students. Others believe that higher education should be available only to good students.
Discuss these views. Which view do you agree with? Explain why."
4,Some people believe that the best way of learning about life is by listening to the advice of family and friends. Other people believe that the best way of learning about life is through personal experience. Compare the advantages of these two different ways of learning about life. Which do you think is preferable?
5,"With the pressures on today’s young people to succeed academically, some people believe that non-academic subjects at school (eg: physical education and cookery) should be removed from the syllabus so that children can concentrate wholly on academic subjects. To what extent do you agree or disagree?"
6,"In many countries, sports and exercise classes are replaced with the academic
subjects. Discuss the effects of this trend."
7,Some people think high school graduates should travel or work for a period of time instead of going directly to study at university. Discuss the advantages and disadvantages of both approaches. Give reasons for your answer and include any relevant examples from your own knowledge or experience. 
8,"The student who study from the school to university get benefit less and contribute less too, than those of student who go to travel or job and get skills and experience before going high. Do you agree or disagree?"
9,Disruptive school students have a negative influence on others. Students who are noisy and disobedient should be grouped together and taught separately. Do you agree or disagree?
10,Some people think that universities should not provide so much theoretical knowledge but give more practical training throughout their courses. To what extent do you agree or disagree with this opinion?
11001,"People attend college or university for many defferent reasons (for example, new experiences, career preparation, increased knowledge). Why do you think people attend college or university?"
11002,"People attend college or university for many defferent reasons (for example, new experiences, career preparation, increased knowledge). Why do you think people attend college or university?"
12,"Nowadays, education overseas has become more accessible and growing numbers of people send their offspring to study in other countries. However, this trend has its detractors. I strongly believe that the pros far outweigh the cons, and will examine both below."
13001,"It has been said, ""Not everything that is learned is contained in books."" Compare and contrast knowledge gained from experience with knowledge gained from books. In your opinion, which source is more important? Why?"
13002,"It has been said, ""Not everything that is learned is contained in books."" Compare and contrast knowledge gained from experience with knowledge gained from books. In your opinion, which source is more important? Why?"
14,"Do you agree or disagree with the following statement? People should read only those books that are about real events, real people, and established facts. Use specific reasons and details to support your opinion."
15,"Going overseas for university study is an exciting prospect for many people. But while it may offer some advantages, it is probably better to stay home because of the difficulties a student inevitably encounters living and studying in a different culture. To what extent do you agree or disagree with this statement?"
16,"Many students do not finish school. Why is this, and how can the problem be solved? School Drop-Outs: Problems and Solutions"
17,Does a university education lead to success in life? 
18,Education: Losing its Value
19,Education: Still Invaluable!
20,"It is often said that the subjects taught in schools are too academic in orientation and that it would be more useful for children to learn about practical matters such as home management, work and interpersonal skills. To what extent do you agree or disagree?"
21,"It has been said, “Not every thing that is learned is contained in books.” Compare and contrast knowledge gained from experience with knowledge gained from books. In your opinion, which source is more important? Why?"
22,"Nowadays environmental problems are too big to be managed by individual persons or individual countries. In other words, it is an international problem. To what extent do you agree or disagree?"
23,Nowadays we are producing more and more rubbish. Why do you think this is happening? What can governments do to help reduce the amount of rubbish produced?
24,Scientists and the news media are presenting ever more evidence of climate change. Governmnets cannot be expected to solve this problem. It is the responsibility of individuals to change their lifestyle to prevent further damage. What are your views?
25,"Many parts of the world are losing important natural resources, such as forests, animals, or clean water. Choose one resource that is disappearing and explain why it needs to be saved. Use specific reasons and examples to support your opinion."
26,"The rising levels of congestion and air pollution found in most of the world's cities can be attributed directly to the rapidly increasing number of private cars in use. In order to reverse this decline in the quality of life in cities, attempts must be made to encourage people to use their cars less and public transport more. Discuss possible ways to encourage the use of public transport."
27,The earth is being filled with waste material such as plastic bags and other rubbish. Is this really happening? What are some solutions to this problem?
28,"With all the troubles in the world today, money spent on space exploration is a complete waste. The money could be better spent on other things."
29,Some say that the internet is making the world smaller by bringing people together. To what extent do to you agree that the internet is making it easier for people to communicate with one another.
30,"Internet when used as a source of information, has more drawbacks than advantages. To what extent do you agree with this statement?"
31,Some people say that the Internet is making the world smaller by bringing people together. To what extent do you agree that the internet is making it easier for people to communicate with one another?
32,"We have been living in the nuelear age now for over half a century. Since the first atomic bombs were developed, nuclear technology has provided governments with the ability to totally destroy the planet. Yet the technology has been put to positive use as an energy source and in certain areas of medicine. To what extent is nuclear technology a danger to life on Earth? What are the benefits and risks associated with its use?"
33,Telecommuting' refers to workers doing their jobs from home for part of each week and communicating with their office using computer technology. Telecommuting is growing in many countries and is expected to be common for most office workers in the coming decades. How do you think society will be affected by the growth of telecommuting?
34,Telecommuting: will it change the world?
35,"With the increasing popularity of computers and calculators, student literacy is decreasing dramatically. What are the positive and negative effects the progress of science and technology has brought about?"
36,"Compare the advantages and disadvantages of three of the following as media for communicating information. State which you consider to be the most effective- Comics , books , radio , television , film , theatre"
37,Do you agree or disagree with the following statement? Television has destroyed communication among friends and family. Use specific reasons and examples to support your opinion.
38001,News editors decide what to broadcast on television and what to print in newspapers. What factors do you think influence these decisions? Do we become used to bad news? Would it he better if more good news was reported?
